Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Jason Dickinson,CHI,L,C,1995-07-04,Georgetown,ON,CAN,CAN,74,200,2013,1,29,20152016,N,15,1,3,4
Tyler Bertuzzi,CHI,L,L,1995-02-24,Sudbury,ON,CAN,CAN,74,200,2013,2,58,20162017,N,15,5,1,6
Seth Jones,CHI,R,D,1994-10-03,Arlington,TX,USA,USA,76,213,2013,1,4,20132014,N,15,2,7,9
Elias Lindholm,BOS,R,C,1994-12-02,Boden,--,SWE,SWE,73,202,2013,1,5,20132014,N,15,2,7,9
Alexander Wennberg,SJS,L,C,1994-09-22,Stockholm,--,SWE,SWE,74,190,2013,1,14,20142015,N,15,3,4,7
Nikita Zadorov,BOS,L,D,1995-04-16,Moscow,--,RUS,RUS,78,248,2013,1,16,20132014,N,15,0,4,4
David Pastrnak,BOS,R,R,1996-05-25,Havirov,--,CZE,CZE,72,196,2014,1,25,20142015,N,15,6,7,13
Adrian Kempe,LAK,L,R,1996-09-13,Kramfors,--,SWE,SWE,74,200,2014,1,29,20162017,N,15,5,7,12
Marcus Pettersson,PIT,L,D,1996-05-08,Skelleftea,--,SWE,SWE,77,174,2014,2,38,20172018,N,15,1,5,6
Warren Foegele,LAK,L,L,1996-04-01,Markham,ON,CAN,CAN,74,204,2014,3,67,20172018,N,15,5,2,7
Pavel Zacha,BOS,L,C,1997-04-06,Brno,--,CZE,CZE,76,207,2015,1,6,20152016,N,15,2,3,5
Brandon Carlo,BOS,R,D,1996-11-26,Colorado Springs,CO,USA,USA,77,217,2015,2,37,20162017,N,15,1,2,3
Anthony Beauvillier,PIT,L,L,1997-06-08,Sorel-Tracy,QC,CAN,CAN,71,180,2015,1,28,20162017,N,15,3,1,4
Noel Acciari,PIT,R,C,1991-12-01,Johnston,RI,USA,USA,71,209,--,--,--,20152016,N,15,1,3,4
Vladislav Gavrikov,LAK,L,D,1995-11-21,Yaroslavl,--,RUS,RUS,75,220,2015,6,159,20192020,N,15,1,5,6
Luke Kunin,SJS,R,C,1997-12-04,Chesterfield,MO,USA,USA,72,197,2016,1,15,20172018,N,15,2,3,5
Charlie McAvoy,BOS,R,D,1997-12-21,Long Beach,NY,USA,USA,73,209,2016,1,14,20172018,N,15,2,2,4
Trent Frederic,BOS,L,C,1998-02-11,St. Louis,MO,USA,USA,75,220,2016,1,29,20182019,N,15,1,2,3
Tanner Jeannot,LAK,L,L,1997-05-29,Estevan,SK,CAN,CAN,74,220,--,--,--,20202021,N,15,1,1,2
Trevor Moore,LAK,L,L,1995-03-31,Thousand Oaks,CA,USA,USA,71,195,--,--,--,20182019,N,15,1,7,8
Mario Ferraro,SJS,L,D,1998-09-17,Toronto,ON,CAN,CAN,72,209,2017,2,49,20192020,N,15,0,2,2
Mikey Anderson,LAK,L,D,1999-05-25,Roseville,MN,USA,USA,72,195,2017,4,103,20192020,N,15,2,4,6
Jan Rutta,SJS,R,D,1990-07-29,Pisek,--,CZE,CZE,75,204,--,--,--,20172018,N,15,0,1,1
Fabian Zetterlund,SJS,R,L,1999-08-25,Karlstad,--,SWE,SWE,71,220,2017,3,63,20212022,N,15,6,4,10
Mark Kastelic,BOS,R,C,1999-03-11,Phoenix,AZ,USA,USA,76,226,2019,5,125,20212022,N,15,3,4,7
Cole Koepke,BOS,L,L,1998-05-17,Two Harbors,MN,USA,USA,73,203,2018,6,183,20222023,N,15,4,4,8
Nico Sturm,SJS,L,C,1995-05-03,Augsburg,--,DEU,DEU,75,209,--,--,--,20182019,N,15,2,2,4
John Beecher,BOS,L,C,2001-04-05,Elmira,NY,USA,USA,75,216,2019,1,30,20232024,N,15,2,4,6
Alex Vlasic,CHI,L,D,2001-06-05,Wilmette,IL,USA,USA,78,217,2019,2,43,20212022,N,15,0,7,7
Ilya Mikheyev,CHI,L,R,1994-10-10,Omsk,--,RUS,RUS,74,192,--,--,--,20192020,N,15,1,1,2
Drew O'Connor,PIT,L,L,1998-06-09,Chatham,NJ,USA,USA,76,209,--,--,--,20202021,N,15,3,1,4
Quinton Byfield,LAK,L,R,2002-08-19,Newmarket,ON,CAN,CAN,77,225,2020,1,2,20202021,N,15,2,6,8
Alex Laferriere,LAK,R,R,2001-10-28,Chatham,NJ,USA,USA,73,205,2020,3,83,20232024,N,15,8,6,14
Brandt Clarke,LAK,R,D,2003-02-09,Nepean,ON,CAN,CAN,74,200,2021,1,8,20222023,N,15,1,11,12
Connor Bedard,CHI,R,C,2005-07-17,North Vancouver,BC,CAN,CAN,70,185,2023,1,1,20232024,N,15,3,10,13
Ryan Suter,STL,L,D,1985-01-21,Madison,WI,USA,USA,73,201,2003,1,7,20052006,N,14,1,3,4
Corey Perry,EDM,R,R,1985-05-16,Peterborough,ON,CAN,CAN,75,208,2003,1,28,20052006,N,14,2,1,3
Ian Cole,UTA,L,D,1989-02-21,Ann Arbor,MI,USA,USA,73,237,2007,1,18,20102011,N,14,1,5,6
Mikael Backlund,CGY,L,C,1989-03-17,Vasteras,--,SWE,SWE,72,206,2007,1,24,20082009,N,14,2,4,6
Ryan McDonagh,TBL,L,D,1989-06-13,St. Paul,MN,USA,USA,74,219,2007,1,12,20102011,N,14,0,4,4
Steven Stamkos,NSH,R,C,1990-02-07,Markham,ON,CAN,CAN,73,193,2008,1,1,20082009,N,14,4,3,7
Luke Schenn,NSH,R,D,1989-11-02,Saskatoon,SK,CAN,CAN,74,225,2008,1,5,20082009,N,14,1,0,1
Jordan Eberle,SEA,R,R,1990-05-15,Regina,SK,CAN,CAN,71,180,2008,1,22,20102011,N,14,6,3,9
Roman Josi,NSH,L,D,1990-06-01,Bern,--,CHE,CHE,73,201,2008,2,38,20112012,N,14,1,7,8
Adam Henrique,EDM,L,C,1990-02-06,Brantford,ON,CAN,CAN,72,195,2008,3,82,20102011,N,14,1,0,1
Gustav Nyquist,NSH,L,R,1989-09-01,Halmstad,--,SWE,SWE,71,180,2008,4,121,20112012,N,14,4,3,7
Kyle Palmieri,NYI,R,C,1991-02-01,Smithtown,NY,USA,USA,71,195,2009,1,26,20102011,N,14,6,5,11
Ryan O'Reilly,NSH,L,C,1991-02-07,Clinton,ON,CAN,CAN,73,207,2009,2,33,20092010,N,14,3,7,10
Victor Hedman,TBL,L,D,1990-12-18,Ornskoldsvik,--,SWE,SWE,79,245,2009,1,2,20092010,N,14,3,10,13
Brayden Schenn,STL,L,C,1991-08-22,Saskatoon,SK,CAN,CAN,73,199,2009,1,5,20092010,N,14,1,4,5
Oliver Ekman-Larsson,TOR,L,D,1991-07-17,Karlskrona,--,SWE,SWE,74,192,2009,1,6,20102011,N,14,1,5,6
Nazem Kadri,CGY,L,C,1990-10-06,London,ON,CAN,CAN,72,185,2009,1,7,20092010,N,14,5,3,8
Dmitry Kulikov,FLA,L,D,1990-10-29,Lipetsk,--,RUS,RUS,73,212,2009,1,14,20092010,N,14,1,2,3
Mattias Ekholm,EDM,L,D,1990-05-24,Borlange,--,SWE,SWE,77,225,2009,4,102,20112012,N,14,2,7,9
Casey Cizikas,NYI,L,C,1991-02-27,Toronto,ON,CAN,CAN,71,194,2009,4,92,20112012,N,14,1,1,2
David Savard,MTL,R,D,1990-10-22,St-Hyacinthe,QC,CAN,CAN,73,235,2009,4,94,20112012,N,14,0,4,4
Anders Lee,NYI,L,L,1990-07-03,Edina,MN,USA,USA,75,231,2009,6,152,20122013,N,14,4,5,9
Chris Tanev,TOR,R,D,1989-12-20,Toronto,ON,CAN,CAN,75,199,--,--,--,20102011,N,14,0,3,3
Jason Zucker,BUF,L,L,1992-01-16,Newport Beach,CA,USA,USA,71,195,2010,2,59,20112012,N,14,3,8,11
Justin Faulk,STL,R,D,1992-03-20,South St. Paul,MN,USA,USA,72,214,2010,2,37,20112012,N,14,1,4,5
Brock Nelson,NYI,L,C,1991-10-15,Warroad,MN,USA,USA,76,205,2010,1,30,20132014,N,14,5,2,7
Kevin Hayes,PIT,L,R,1992-05-08,Dorchester,MA,USA,USA,77,216,2010,1,24,20142015,N,14,3,1,4
Jaden Schwartz,SEA,L,C,1992-06-25,Wilcox,SK,CAN,CAN,70,185,2010,1,14,20112012,N,14,3,5,8
Jeff Skinner,EDM,L,L,1992-05-16,Toronto,ON,CAN,CAN,71,200,2010,1,7,20102011,N,14,3,3,6
